period,hcr_type,strategy,change_par,change_type,direction,B_cons,Binit,chng_time2,discount_rate,error_rho,error_cv,error_rep,metric,value,par_A,per_change
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Hcm,1313.6159856027289,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.16543158390472568,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.06090017263671362,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Rcm,1021.447222949679,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.1621002688742535,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,1,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,1,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.6938775510204082,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.6938775510204082,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.9795918367346939,0.0625,300
pre,slope,GCA,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Bmn,618.280190065997,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.08055817875541031,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Hcm,940.5571629721213,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.08338809099139498,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.03125,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Rcm,731.8924023548913,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.07344280642269062,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.3469387755102041,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.3469387755102041,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.9795918367346939,0.0625,300
pre,slope,SQ,r,grad,increase,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0,0.0625,300
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,440.9760379547565,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.22393329097329123,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,1788.520352707823,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.6519119765087389,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.07557835260553718,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1526.6766640508883,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.7655307769143863,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8979591836734694,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8979591836734694,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.8163265306122449,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.8163265306122449,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_true,0,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_0.2BMSY_fixed,0,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_true,0.673469387755102,0.25,-75
pre,slope,update_10,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_UMSY_fixed,0.7959183673469388,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bmn,454.1249730538582,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Bcv,0.20936309082875149,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcm,1777.289114859775,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hcv,0.635186039523507,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Hrmn,0.07343362370515012,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcm,1515.7541574769239,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,Rcv,0.7488858355502269,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,N_neg,0,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_true,0.8775510204081632,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_Bcons_fixed,0.8775510204081632,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_true,0.7755102040816326,0.25,-75
pre,slope,update_4,r,grad,decrease,1.2,500,50,0.01,0.5,0.8,100,propl_BMSY_fixed,0.7755102040816326,0.25,-75
